"","id","gender","age","province","smoked_cigarettes","age_first_time_cigarettes","freq_cigarettes_30_days","freq_little_cigars_30_days","freq_cigars_30_days","freq_tabacco_pipe_30_days","freq_chewing_tabacco_30_days","freq_tabacco_waterpipe_30_days","when_quit_smoking","num_try_stop_smoking","quit_smoking_by_vaping","vaped","age_first_time_vape","freq_vaped_30_days","main_reason_vaping","num_try_stop_vaping","harm_vaping","smoked_cannabis","age_first_time_cannabis","freq_cannabis_30_days","freq_cannabis_tobacco_mix_30_days","first_product","freq_alcohol_30_days","smoking_status"
"379",50378,"Female","55-64","Ontario","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","Yes","50-54","Daily","To quit smoking cigarettes","0","Much less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Not stated","Not at all","Former smoker"
"380",50379,"Female","55-64","Ontario","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Cigarette","Not at all","Former smoker"
"381",50380,"Male","20-24","Manitoba","Yes","20-24","Less than daily, but at least once in the past month","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","4 or more","No","Yes","20-24","Not at all","Valid skip","Valid skip","About the same as cigarettes","Yes","20-24","Not at all","Valid skip","Cigarette","At least once a week","Current smoker"
"382",50381,"Female","55-64","Quebec","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Daily","Former smoker"
"383",50382,"Male","65 and older","Manitoba","Yes","Not stated","Less than daily, but at least once in the past month","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","4 or more","No","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Current smoker"
"384",50383,"Male","15-19","Newfoundland and Labrador","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"385",50384,"Male","35-44","Ontario","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","15-19","Not at all","Valid skip","Cigarette","At least once a week","Former smoker"
"386",50385,"Male","65 and older","Prince Edward Island","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","20-24","Not at all","Valid skip","Valid skip","At least once a week","Never smoked"
"387",50386,"Male","20-24","Alberta","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Less than daily, but at least once in the past month","Enjoy it","4 or more","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","An e-cigarette or vaping device","Less than once a week, but at least once in the past month","Never smoked"
"388",50387,"Male","20-24","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"389",50388,"Female","20-24","New Brunswick","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"390",50389,"Female","20-24","Saskatchewan","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Somewhat more harmful than cigarettes","Yes","15-19","Less than once a week, but at least once in the past month","Not at all","Cigarette","Less than once a week, but at least once in the past month","Never smoked"
"391",50390,"Female","15-19","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"392",50391,"Male","15-19","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"393",50392,"Female","45-54","Quebec","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"394",50393,"Female","20-24","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"395",50394,"Female","25-34","Nova Scotia","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much less harmful than cigarettes","Yes","15-19","Not at all","Valid skip","Cigarette","At least once a week","Never smoked"
"396",50395,"Female","35-44","Saskatchewan","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"397",50396,"Female","20-24","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","15-19","Not at all","Valid skip","Cannabis","Less than once a week, but at least once in the past month","Never smoked"
"398",50397,"Female","15-19","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"399",50398,"Male","35-44","Newfoundland and Labrador","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"400",50399,"Female","25-34","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Valid skip","Not at all","Never smoked"
"401",50400,"Female","45-54","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","Yes","30-34","Not at all","Valid skip","Valid skip","At least once a week","Never smoked"
"402",50401,"Female","65 and older","Quebec","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","1 to 2 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Former smoker"
"403",50402,"Female","15-19","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"404",50403,"Male","65 and older","New Brunswick","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Former smoker"
"405",50404,"Male","35-44","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"406",50405,"Female","65 and older","Alberta","Yes","30-34","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"407",50406,"Female","15-19","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"408",50407,"Male","65 and older","Alberta","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","3 to 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","15-19","Not at all","Valid skip","Cigarette","Daily","Former smoker"
"409",50408,"Male","65 and older","Alberta","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"410",50409,"Male","45-54","Ontario","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"411",50410,"Female","20-24","Saskatchewan","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Less than once a week, but at least once in the past month","Enjoy it","4 or more","Don't know","Yes","15-19","Not at all","Valid skip","Cigarette","Less than once a week, but at least once in the past month","Never smoked"
"412",50411,"Male","20-24","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"413",50412,"Female","55-64","Prince Edward Island","Yes","15-19","Less than daily, but at least once in the past month","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","2 or 3","Yes",NA,"Not stated","Not stated","Not stated","Not stated","Somewhat less harmful than cigarettes","Yes","15-19","Less than daily, but at least once a week","Less than daily, but at least once a week","Not stated","At least once a week","Current smoker"
"414",50413,"Female","35-44","Manitoba","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","Yes","15-19","Not at all","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"415",50414,"Male","20-24","New Brunswick","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Daily","Never smoked"
"416",50415,"Female","25-34","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"417",50416,"Male","65 and older","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"418",50417,"Male","55-64","Alberta","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","15-19","Not at all","Valid skip","Cigarette","Less than once a week, but at least once in the past month","Former smoker"
"419",50418,"Female","55-64","Quebec","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"420",50419,"Male","15-19","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"421",50420,"Female","15-19","Saskatchewan","Yes","15-19","Not at all",NA,"Not at all","Not at all","Not at all","Less than once a week, but at least once in the past month","3 to 5 years ago","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","15-19","Daily","Not at all","Cigarette","Less than once a week, but at least once in the past month","Former smoker"
"422",50421,"Female","15-19","Saskatchewan","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"423",50422,"Female","35-44","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Daily","Never smoked"
"424",50423,"Female","65 and older","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"425",50424,"Female","65 and older","Saskatchewan","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Former smoker"
"426",50425,"Male","15-19","Nova Scotia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"427",50426,"Male","55-64","Manitoba","Yes","10-14","Not at all","Not at all","At least once a week","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Cigarette","At least once a week","Former smoker"
"428",50427,"Female","45-54","Saskatchewan","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","25-29","Not at all","Valid skip","Cigarette","Less than once a week, but at least once in the past month","Former smoker"
"429",50428,"Female","20-24","Ontario","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","15-19","Less than daily, but at least once a week","Not at all","Cannabis","At least once a week","Never smoked"
"430",50429,"Female","20-24","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","20-24","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","15-19","Less than daily, but at least once a week","Not at all","Cannabis","At least once a week","Never smoked"
"431",50430,"Female","25-34","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much more harmful than cigarettes","Yes","25-29","Not at all","Valid skip","Valid skip","At least once a week","Never smoked"
"432",50431,"Female","45-54","Quebec","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not Stated","Not stated","Not stated","Yes","45-49","Less than daily, but at least once in the past month","To reduce stress","0","About the same as cigarettes","Yes","10-14","Less than once a week, but at least once in the past month","Less than once a week, but at least once in the past month","Cigarette","At least once a week","Former smoker"
"433",50432,"Female","20-24","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"434",50433,"Male","35-44","Saskatchewan","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Daily","Never smoked"
"435",50434,"Male","25-34","Manitoba","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"436",50435,"Female","65 and older","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","20-24","Not at all","Valid skip","Valid skip","At least once a week","Never smoked"
"437",50436,"Male","20-24","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"438",50437,"Male","55-64","Ontario","Yes","10-14","Daily","Daily","Not at all","Not at all","Not at all","Not at all","Valid skip","2 or 3","Yes","Yes","55-59","Not at all","Valid skip","Valid skip","Much more harmful than cigarettes","Yes","10-14","Daily","Daily","Cigarette","At least once a week","Current smoker"
"439",50438,"Male","35-44","Alberta","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","15-19","Not at all","Valid skip","Cannabis","Less than once a week, but at least once in the past month","Never smoked"
"440",50439,"Female","65 and older","British Columbia","Yes","25-29","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Former smoker"
"441",50440,"Male","55-64","Quebec","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"442",50441,"Female","25-34","New Brunswick","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","30-34","Not at all","Valid skip","Valid skip","About the same as cigarettes","Yes","10-14","Daily","Not at all","Cannabis","Less than once a week, but at least once in the past month","Never smoked"
"443",50442,"Male","65 and older","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"444",50443,"Female","45-54","British Columbia","Yes","15-19","Less than daily, but at least once in the past month","Less than daily, but at least once in the past month","Not at all","Not at all","Not at all","Not at all","Valid skip","0","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Daily","Current smoker"
"445",50444,"Female","20-24","Newfoundland and Labrador","Yes","10-14","Less than daily, but at least once in the past month","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","0","Valid skip","Yes","15-19","Less than once a week, but at least once in the past month","To reduce stress","4 or more","Somewhat less harmful than cigarettes","Yes","10-14","Daily","Less than once a week, but at least once in the past month","Cigarette","At least once a week","Current smoker"
"446",50445,"Male","15-19","Nova Scotia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"447",50446,"Male","55-64","Quebec","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","15-19","Not at all","Valid skip","Cigarette","At least once a week","Former smoker"
"448",50447,"Male","55-64","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"449",50448,"Female","15-19","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"450",50449,"Male","65 and older","British Columbia","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Former smoker"
"451",50450,"Female","35-44","Nova Scotia","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","10-14","Not at all","Valid skip","Cigarette","At least once a week","Former smoker"
"452",50451,"Female","65 and older","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"453",50452,"Male","65 and older","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"454",50453,"Female","15-19","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"455",50454,"Female","55-64","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"456",50455,"Male","35-44","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"457",50456,"Female","55-64","Quebec","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"458",50457,"Female","45-54","Prince Edward Island","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"459",50458,"Female","65 and older","Nova Scotia","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"460",50459,"Female","25-34","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"461",50460,"Female","15-19","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"462",50461,"Female","55-64","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"463",50462,"Female","65 and older","British Columbia","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","10-14","Not at all","Valid skip","Cigarette","Not at all","Former smoker"
"464",50463,"Male","20-24","Prince Edward Island","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"465",50464,"Female","65 and older","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much more harmful than cigarettes","Yes","20-24","Not at all","Valid skip","Valid skip","Daily","Never smoked"
